"Experiment","FDR","peptide_ids"
"TimsOff",0.091,16681
"TimsOn",0.091,19812
"IMwin",0.091,23988
"IMwin_IMscored",0.091,24361
"TimsOff",0.092,16696
"TimsOn",0.092,19874
"IMwin",0.092,24030
"IMwin_IMscored",0.092,24405
"TimsOff",0.093,16733
"TimsOn",0.093,19919
"IMwin",0.093,24080
"IMwin_IMscored",0.093,24450
"TimsOff",0.094,16783
"TimsOn",0.094,19977
"IMwin",0.094,24131
"IMwin_IMscored",0.094,24482
"TimsOff",0.095,16811
"TimsOn",0.095,20025
"IMwin",0.095,24208
"IMwin_IMscored",0.095,24536
"TimsOff",0.096,16837
"TimsOn",0.096,20065
"IMwin",0.096,24256
"IMwin_IMscored",0.096,24588
"TimsOff",0.097,16881
"TimsOn",0.097,20108
"IMwin",0.097,24307
"IMwin_IMscored",0.097,24652
"TimsOff",0.098,16921
"TimsOn",0.098,20160
"IMwin",0.098,24348
"IMwin_IMscored",0.098,24702
"TimsOff",0.099,16962
"TimsOn",0.099,20217
"IMwin",0.099,24407
"IMwin_IMscored",0.099,24745
"TimsOff",0.1,17013
"TimsOn",0.1,20252
"IMwin",0.1,24443
"IMwin_IMscored",0.1,24793
"TimsOff",0.101,17035
"TimsOn",0.101,20293
"IMwin",0.101,24488
"IMwin_IMscored",0.101,24833
"TimsOff",0.102,17060
"TimsOn",0.102,20361
"IMwin",0.102,24527
"IMwin_IMscored",0.102,24892
"TimsOff",0.103,17091
"TimsOn",0.103,20401
"IMwin",0.103,24565
"IMwin_IMscored",0.103,24925
"TimsOff",0.104,17129
"TimsOn",0.104,20469
"IMwin",0.104,24619
"IMwin_IMscored",0.104,24975
"TimsOff",0.105,17195
"TimsOn",0.105,20516
"IMwin",0.105,24652
"IMwin_IMscored",0.105,25024
"TimsOff",0.106,17245
"TimsOn",0.106,20568
"IMwin",0.106,24696
"IMwin_IMscored",0.106,25086
"TimsOff",0.107,17293
"TimsOn",0.107,20610
"IMwin",0.107,24752
"IMwin_IMscored",0.107,25141
"TimsOff",0.108,17351
"TimsOn",0.108,20648
"IMwin",0.108,24804
"IMwin_IMscored",0.108,25177
"TimsOff",0.109,17383
"TimsOn",0.109,20707
"IMwin",0.109,24860
"IMwin_IMscored",0.109,25230
"TimsOff",0.11,17429
"TimsOn",0.11,20756
"IMwin",0.11,24912
"IMwin_IMscored",0.11,25279
"TimsOff",0.111,17471
"TimsOn",0.111,20798
"IMwin",0.111,24961
"IMwin_IMscored",0.111,25323
"TimsOff",0.112,17513
"TimsOn",0.112,20843
"IMwin",0.112,25022
"IMwin_IMscored",0.112,25362
"TimsOff",0.113,17560
"TimsOn",0.113,20889
"IMwin",0.113,25070
"IMwin_IMscored",0.113,25393
"TimsOff",0.114,17624
"TimsOn",0.114,20947
"IMwin",0.114,25111
"IMwin_IMscored",0.114,25413
"TimsOff",0.115,17671
"TimsOn",0.115,20965
"IMwin",0.115,25141
"IMwin_IMscored",0.115,25463
"TimsOff",0.116,17707
"TimsOn",0.116,20998
"IMwin",0.116,25193
"IMwin_IMscored",0.116,25504
"TimsOff",0.117,17742
"TimsOn",0.117,21043
"IMwin",0.117,25252
"IMwin_IMscored",0.117,25551
"TimsOff",0.118,17796
"TimsOn",0.118,21080
"IMwin",0.118,25303
"IMwin_IMscored",0.118,25607
"TimsOff",0.119,17849
"TimsOn",0.119,21115
"IMwin",0.119,25347
"IMwin_IMscored",0.119,25675
"TimsOff",0.12,17889
"TimsOn",0.12,21170
"IMwin",0.12,25405
"IMwin_IMscored",0.12,25710
"TimsOff",0.121,17922
"TimsOn",0.121,21206
"IMwin",0.121,25431
"IMwin_IMscored",0.121,25733
"TimsOff",0.122,17971
"TimsOn",0.122,21269
"IMwin",0.122,25463
"IMwin_IMscored",0.122,25794
"TimsOff",0.123,18015
"TimsOn",0.123,21302
"IMwin",0.123,25502
"IMwin_IMscored",0.123,25824
"TimsOff",0.124,18076
"TimsOn",0.124,21335
"IMwin",0.124,25554
"IMwin_IMscored",0.124,25877
"TimsOff",0.125,18107
"TimsOn",0.125,21366
"IMwin",0.125,25595
"IMwin_IMscored",0.125,25916
"TimsOff",0.126,18184
"TimsOn",0.126,21398
"IMwin",0.126,25641
"IMwin_IMscored",0.126,25957
"TimsOff",0.127,18228
"TimsOn",0.127,21449
"IMwin",0.127,25688
"IMwin_IMscored",0.127,26023
"TimsOff",0.128,18260
"TimsOn",0.128,21497
"IMwin",0.128,25730
"IMwin_IMscored",0.128,26071
"TimsOff",0.129,18303
"TimsOn",0.129,21540
"IMwin",0.129,25782
"IMwin_IMscored",0.129,26132
"TimsOff",0.13,18340
"TimsOn",0.13,21567
"IMwin",0.13,25815
"IMwin_IMscored",0.13,26172
"TimsOff",0.131,18360
"TimsOn",0.131,21619
"IMwin",0.131,25881
"IMwin_IMscored",0.131,26214
"TimsOff",0.132,18394
"TimsOn",0.132,21665
"IMwin",0.132,25914
"IMwin_IMscored",0.132,26241
"TimsOff",0.133,18434
"TimsOn",0.133,21703
"IMwin",0.133,25957
